Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,24-Sep-20,2467.45,2450,2450,2302.6,2332.9,2332.25,2355.03,8425118,19841432992,304819,2896527,34.38
TCS,EQ,25-Sep-20,2332.25,2368,2440,2352.1,2417.75,2422.3,2412.24,8228297,19848602662,267956,1785457,21.7
TCS,EQ,28-Sep-20,2422.3,2440,2444,2366,2429,2426.3,2403.73,4347177,10449459680,173323,836214,19.24
TCS,EQ,29-Sep-20,2426.3,2434.85,2511.05,2426.3,2486.75,2488.4,2489.18,6995815,17413846658,235653,1430697,20.45
TCS,EQ,30-Sep-20,2488.4,2489,2505,2460,2483,2492.3,2485.2,3917186,9734991232,133456,1499169,38.27
TCS,EQ,1-Oct-20,2492.3,2510,2540,2492.3,2540,2523.45,2508.29,2610338,6547481501,103469,747931,28.65
TCS,EQ,5-Oct-20,2523.45,2620,2728.1,2603.05,2713.95,2705.8,2670.27,17412119,46495113781,495784,2477947,14.23
TCS,EQ,6-Oct-20,2705.8,2736,2736,2650.1,2718,2714.3,2688.29,9846376,26469933698,308149,1890863,19.2
TCS,EQ,7-Oct-20,2714.3,2742,2770,2703,2752.8,2735.95,2728.88,9656167,26350562848,306556,2543041,26.34
TCS,EQ,8-Oct-20,2735.95,2800,2885,2800,2818.45,2825.7,2855.52,19839826,56653099951,542541,2925398,14.75
TCS,EQ,9-Oct-20,2825.7,2810,2829.85,2780,2811,2812.95,2804.8,7739375,21707426131,239979,2016789,26.06
TCS,EQ,12-Oct-20,2812.95,2815.5,2854,2800.75,2826.15,2830,2832.22,4623211,13093942156,164934,1359019,29.4
TCS,EQ,13-Oct-20,2830,2845,2854.9,2812.2,2830.5,2826.55,2834.44,4209905,11932743666,156554,1335928,31.73
TCS,EQ,14-Oct-20,2826.55,2842,2842,2787.55,2810,2809.6,2808.82,4395979,12347502778,143887,1813426,41.25
TCS,EQ,15-Oct-20,2809.6,2811,2827.75,2727,2734,2740.6,2757.66,6629395,18281595594,190209,3050039,46.01
TCS,EQ,16-Oct-20,2740.6,2750.1,2771.65,2731.3,2757,2763.3,2756.34,5273773,14536328866,111405,2268743,43.02
TCS,EQ,19-Oct-20,2763.3,2774,2774,2706.6,2714.8,2711.55,2723.63,3331194,9072949038,151449,1370233,41.13
TCS,EQ,20-Oct-20,2711.55,2725,2759.9,2717.95,2739,2739,2743.85,3406298,9346383059,137012,1402392,41.17
TCS,EQ,21-Oct-20,2739,2739,2749,2663.05,2678,2675.4,2700.88,4570175,12343484213,207866,2385821,52.2
TCS,EQ,22-Oct-20,2675.4,2661,2686.65,2638.1,2672.9,2671.15,2664.97,5262311,14023911495,167510,2554936,48.55
TCS,EQ,23-Oct-20,2671.15,2687.8,2702,2670.1,2687,2686.8,2687.39,3499372,9404177977,124614,1911506,54.62
TCS,EQ,26-Oct-20,2686.8,2689.95,2709.95,2670.5,2690.1,2688.2,2694.09,2672766,7200673676,101255,908018,33.97
TCS,EQ,27-Oct-20,2688.2,2699.75,2718.15,2624.1,2634.8,2630.15,2654.79,3537594,9391582219,172659,1597439,45.16
TCS,EQ,28-Oct-20,2630.15,2650,2655.95,2606,2619.5,2622.2,2625.65,3569515,9372292383,143177,1548301,43.38
TCS,EQ,29-Oct-20,2622.2,2608,2655,2600.25,2632.1,2632.65,2634.88,3105970,8183860034,121416,1069258,34.43
TCS,EQ,30-Oct-20,2632.65,2636.1,2674.35,2621.6,2663.55,2664.85,2654.92,3427003,9098415229,120277,1334806,38.95
TCS,EQ,2-Nov-20,2664.85,2660,2664.85,2600.05,2608,2604.6,2618.15,2571196,6731784552,117447,1137130,44.23
TCS,EQ,3-Nov-20,2604.6,2604,2665,2601.05,2629,2633.6,2635.01,2879269,7586913378,117355,1034396,35.93
TCS,EQ,4-Nov-20,2633.6,2610,2721.85,2610,2656,2653.15,2683.56,4893928,13133144835,210543,1515071,30.96
TCS,EQ,5-Nov-20,2653.15,2685,2710,2667,2688,2685.7,2688.19,2816502,7571301989,119199,940632,33.4
TCS,EQ,6-Nov-20,2685.7,2699,2713.25,2681.3,2711,2707.45,2699.35,3884421,10485427442,132771,2078180,53.5
TCS,EQ,9-Nov-20,2707.45,2731.1,2744,2695.1,2726,2726.6,2720.53,3646592,9920661493,162134,1305417,35.8
TCS,EQ,10-Nov-20,2726.6,2697.2,2713.15,2638.35,2653.95,2649.6,2663.45,4760020,12678056831,240272,1871537,39.32
TCS,EQ,11-Nov-20,2649.6,2667.95,2692.8,2643.4,2687.5,2687.8,2669.85,3242441,8656831442,168899,1292728,39.87
TCS,EQ,12-Nov-20,2687.8,2686,2713,2661.75,2674.75,2671.05,2679.78,2437505,6531986740,100997,1134593,46.55
TCS,EQ,13-Nov-20,2671.05,2655.75,2664.9,2636,2661.2,2656.85,2650.87,2548093,6754656103,111018,1218667,47.83
TCS,EQ,14-Nov-20,2656.85,2677.95,2689,2660.05,2673.25,2670.35,2669.67,298819,797748788,20530,127612,42.71
TCS,EQ,17-Nov-20,2670.35,2695,2695,2650.05,2661.25,2666.05,2670.8,2827273,7551068267,134996,1460105,51.64
TCS,EQ,18-Nov-20,2666.05,2661,2664.2,2607.05,2626,2626.65,2625.58,2893762,7597789756,136273,1405121,48.56
TCS,EQ,19-Nov-20,2626.65,2637,2676.15,2630.85,2640.25,2636.9,2648.32,4167501,11036855516,178640,1916634,45.99
TCS,EQ,20-Nov-20,2636.9,2655,2676,2627.55,2657.8,2660.25,2657.32,2711471,7205237905,118196,1060178,39.1
TCS,EQ,23-Nov-20,2660.25,2690,2730,2665,2727.25,2724.25,2706.23,3706418,10030430980,150378,1534732,41.41
TCS,EQ,24-Nov-20,2724.25,2734.4,2743,2705,2726,2722.05,2724.87,3120516,8502992372,148092,1269435,40.68
TCS,EQ,25-Nov-20,2722.05,2729,2732.95,2688.2,2700,2701.3,2707.81,3302249,8941871533,163422,1804711,54.65
TCS,EQ,26-Nov-20,2701.3,2686,2730.95,2680,2730,2720.6,2703.16,2341099,6328369462,103635,1019732,43.56
